id_player,serial,pass_accuracy,pass_attempted,pass_completed,cross_accuracy,cross_attempted,cross_complted,freekicks_taken
ID_480,204,86.0,141,117,60,5,3,2
ID_347,204,86.0,131,113,0,4,0,0
ID_506,204,86.0,123,106,0,0,0,3
ID_58,211,85.9,440,385,0,1,0,14
ID_324,212,85.8,200,170,36,11,4,16
ID_316,212,85.8,170,153,0,3,0,1
ID_342,212,85.8,161,140,0,1,0,2
ID_556,212,85.8,83,72,0,5,0,2
ID_215,212,85.8,268,242,40,10,4,23
ID_393,212,85.8,168,147,0,0,0,8
ID_395,212,85.8,143,123,40,5,2,0
ID_310,219,85.7,202,176,0,4,0,0
ID_41,219,85.7,176,150,0,0,0,0
ID_237,219,85.7,338,307,33,3,1,5
ID_288,219,85.7,262,225,47,34,16,4
ID_226,219,85.7,184,162,0,0,0,4
ID_519,219,85.7,106,92,0,1,0,5
ID_433,219,85.7,86,73,16,6,1,1
ID_250,226,85.6,224,194,0,0,0,4
ID_175,226,85.6,363,316,33,3,1,12
ID_205,228,85.5,272,235,47,21,10,3
ID_529,228,85.5,117,103,0,0,0,1
ID_399,228,85.5,115,99,16,6,1,1
ID_466,228,85.5,109,95,0,8,0,1
ID_282,232,85.4,215,184,0,0,0,5
ID_100,232,85.4,257,220,13,15,2,0
ID_11,232,85.4,395,336,20,15,3,1
ID_243,235,85.3,267,229,45,22,10,5
ID_42,235,85.3,165,141,20,10,2,5
ID_431,235,85.3,101,86,0,0,0,9
ID_352,235,85.3,291,254,40,5,2,12
ID_411,235,85.3,144,126,30,23,7,0
ID_212,240,85.2,306,265,50,8,4,5
ID_216,240,85.2,137,118,0,0,0,2
ID_267,242,85.0,238,202,39,23,9,4
ID_72,242,85.0,208,173,0,0,0,7
ID_181,242,85.0,194,165,0,1,0,14
ID_381,242,85.0,175,150,100,4,4,10
ID_368,242,85.0,167,143,0,0,0,13
ID_18,242,85.0,63,55,33,3,1,1
ID_570,242,85.0,54,46,20,5,1,2
ID_60,249,84.9,482,414,24,49,12,11
ID_277,250,84.8,262,224,50,2,1,5
ID_289,250,84.8,254,218,0,9,0,2
