id_player,serial,pass_accuracy,pass_attempted,pass_completed,cross_accuracy,cross_attempted,cross_complted,freekicks_taken
ID_297,386,79.8,155,124,0,2,0,1
ID_378,386,79.8,66,50,0,1,0,0
ID_92,386,79.8,291,232,30,13,4,9
ID_198,386,79.8,191,151,42,7,3,1
ID_184,386,79.8,219,168,25,47,12,0
ID_485,386,79.8,105,85,44,9,4,5
ID_230,394,79.7,148,117,21,14,3,11
ID_341,395,79.6,90,73,25,8,2,1
ID_473,395,79.6,71,57,0,1,0,1
ID_527,397,79.5,122,105,20,5,1,2
ID_389,397,79.5,72,58,0,1,0,0
ID_382,397,79.5,61,49,75,4,3,0
ID_334,400,79.4,199,185,0,0,0,5
ID_403,401,79.3,70,53,50,2,1,0
ID_472,401,79.3,68,55,0,1,0,1
ID_240,403,79.2,165,133,21,19,4,1
ID_67,404,79.1,206,163,10,10,1,1
ID_142,405,79.0,314,255,0,2,0,12
ID_30,405,79.0,278,219,30,10,3,1
ID_617,405,79.0,19,15,0,0,0,0
ID_79,408,78.9,366,283,28,25,7,1
ID_132,408,78.9,211,175,0,0,0,10
ID_196,408,78.9,137,108,0,4,0,0
ID_227,411,78.8,164,128,25,20,5,5
ID_348,411,78.8,124,98,0,1,0,1
ID_156,413,78.7,266,210,38,18,7,25
ID_169,413,78.7,216,166,0,0,0,18
ID_335,413,78.7,131,103,0,7,0,0
ID_151,413,78.7,115,87,44,9,4,0
ID_61,417,78.6,165,128,38,13,5,0
ID_247,417,78.6,215,172,31,16,5,7
ID_40,417,78.6,201,165,22,40,9,8
ID_365,420,78.5,184,148,33,9,3,14
ID_376,420,78.5,88,69,0,2,0,0
ID_555,420,78.5,57,44,0,2,0,1
ID_447,423,78.4,110,91,20,5,1,1
ID_329,424,78.3,101,76,0,0,0,1
ID_197,425,78.2,324,250,21,28,6,11
ID_130,426,78.0,297,233,33,12,4,9
ID_454,426,78.0,130,101,57,7,4,8
ID_186,426,78.0,105,83,33,3,1,1
ID_345,426,78.0,100,78,0,1,0,0
ID_613,426,78.0,36,28,0,0,0,1
ID_322,431,77.8,275,214,40,30,12,15
ID_535,431,77.8,92,79,0,9,0,0
ID_13,433,77.6,209,183,38,13,5,3
ID_417,433,77.6,148,124,21,14,3,14
ID_457,433,77.6,71,58,0,3,0,0
ID_266,436,77.5,182,141,28,7,2,1
ID_209,436,77.5,76,59,0,2,0,0
ID_224,438,77.3,271,212,5,18,1,3
ID_338,438,77.3,97,74,0,0,0,9
ID_292,440,77.2,129,101,33,3,1,3
ID_236,440,77.2,124,93,14,14,2,0
ID_398,442,77.0,127,96,45,20,9,13
ID_554,442,77.0,76,68,0,1,0,0
ID_481,442,77.0,76,55,28,7,2,2
