"id_player	player_name	club	position"
"ID_129	Christensen	Chelsea	Defender"
"ID_130	Zeki Ã‡elik	LOSC	Defender"
"ID_131	MartÃ­nez	Inter	Forward"
"ID_132	GimÃ©nez	AtlÃ©tico	Defender"
"ID_133	Paulinho	Sporting CP	Forward"
"ID_134	Sterling	Man. City	Forward"
"ID_135	Nuno Mendes	Paris	Defender"
"ID_136	Bonucci	Juventus	Defender"
"ID_137	Kondogbia	AtlÃ©tico	Midfielder"
"ID_138	De Paul	AtlÃ©tico	Midfielder"
"ID_139	Antony	Ajax	Forward"
"ID_140	Walker	Man. City	Defender"
"ID_141	JoÃ£o FÃ©lix	AtlÃ©tico	Forward"
"ID_142	WÃ¶ber	Salzburg	Defender"
"ID_143	Blind	Ajax	Defender"
"ID_144	L. HernÃ¡ndez	Bayern	Defender"
"ID_145	J. Timber	Ajax	Midfielder"
"ID_146	Jorginho	Chelsea	Midfielder"
"ID_147	GonÃ§alo InÃ¡cio	Sporting CP	Defender"
"ID_148	Ãlvarez	Ajax	Midfielder"
"ID_149	Alex Sandro	Juventus	Defender"
"ID_150	Alonso	Chelsea	Defender"
"ID_151	Everton	Benfica	Forward"
"ID_152	DÅ¾eko	Inter	Forward"
"ID_153	Vanaken	Club Brugge	Midfielder"
"ID_154	S. Thill	Sheriff	Midfielder"
"ID_155	Coates	Sporting CP	Defender"
"ID_156	Arnold	Wolfsburg	Midfielder"
"ID_157	Cristiano	Sheriff	Defender"
"ID_158	Zabarnyi	Dynamo Kyiv	Defender"
"ID_159	Fernando	Sevilla	Midfielder"
"ID_160	Fernando Costanza	Sheriff	Defender"
"ID_161	DodÃ´	Shakhtar Donetsk	Defender"
"ID_162	Barrios	Zenit	Midfielder"
"ID_163	Lacroix	Wolfsburg	Defender"
"ID_164	Hendry	Club Brugge	Defender"
"ID_165	Arboleda	Sheriff	Defender"
"ID_166	Dulanto	Sheriff	Defender"
"ID_167	Bounou	Sevilla	Goalkeeper"
"ID_168	Kobel	Dortmund	Goalkeeper"
"ID_169	Mignolet	Club Brugge	Goalkeeper"
"ID_170	Musso	Atalanta	Goalkeeper"
"ID_171	Pasveer	Ajax	Goalkeeper"
"ID_172	GrbiÄ‡	LOSC	Goalkeeper"
"ID_173	Diogo Costa	Porto	Goalkeeper"
"ID_174	Ter Stegen	Barcelona	Goalkeeper"
"ID_175	Locatelli	Juventus	Midfielder"
"ID_176	Diego Carlos	Sevilla	Defender"
"ID_177	Mount	Chelsea	Midfielder"
"ID_178	Rabiot	Juventus	Midfielder"
"ID_179	Sydorchuk	Dynamo Kyiv	Midfielder"
"ID_180	Maguire	Man. United	Defender"
"ID_181	JoÃ£o Palhinha	Sporting CP	Midfielder"
"ID_182	Tiago DjalÃ³	LOSC	Defender"
"ID_183	Moumi Ngamaleu	Young Boys	Midfielder"
"ID_184	PeriÅ¡iÄ‡	Inter	Midfielder"
"ID_185	Nkunku	Leipzig	Midfielder"
"ID_186	Traore	Sheriff	Midfielder"
"ID_187	Burak YÄ±lmaz	LOSC	Forward"
"ID_188	Pedro Porro	Sporting CP	Defender"
"ID_189	Lang	Club Brugge	Forward"
"ID_190	Clinton Mata	Club Brugge	Defender"
"ID_191	Freuler	Atalanta	Midfielder"
"ID_192	Depay	Barcelona	Forward"
"ID_193	Gerard Moreno	Villarreal	Forward"
"ID_194	Lo Celso	Villarreal	Midfielder"
"ID_195	F. de Jong	Barcelona	Midfielder"
"ID_196	Morata	Juventus	Forward"
"ID_197	Bruno Fernandes	Man. United	Midfielder"
"ID_198	Griezmann	AtlÃ©tico	Forward"
"ID_199	SuÄiÄ‡	Salzburg	Midfielder"
"ID_200	SÃ¼le	Bayern	Defender"
"ID_201	Yaremchuk	Benfica	Forward"
"ID_202	Sarabia	Sporting CP	Forward"
"ID_203	Matheus Nunes	Sporting CP	Midfielder"
"ID_204	James	Chelsea	Defender"
"ID_205	Aebischer	Young Boys	Midfielder"
"ID_206	Bellingham	Dortmund	Midfielder"
"ID_207	Zinchenko	Man. City	Defender"
"ID_208	De Ketelaere	Club Brugge	Forward"
"ID_209	ÄŒolak	MalmÃ¶	Forward"
"ID_210	Reus	Dortmund	Midfielder"
"ID_211	Rakitskyy	Zenit	Defender"
"ID_212	Barella	Inter	Midfielder"
"ID_213	Innocent	MalmÃ¶	Midfielder"
"ID_214	Taremi	Porto	Forward"
"ID_215	JoÃ£o MÃ¡rio	Benfica	Midfielder"
"ID_216	Addo	Sheriff	Midfielder"
"ID_217	Tsygankov	Dynamo Kyiv	Midfielder"
"ID_218	Elia	Young Boys	Forward"
"ID_219	De Vrij	Inter	Defender"
"ID_220	Sergio Busquets	Barcelona	Midfielder"
"ID_221	Shaparenko	Dynamo Kyiv	Midfielder"
"ID_222	Mukiele	Leipzig	Defender"
"ID_223	Wendel	Zenit	Midfielder"
"ID_224	Meunier	Dortmund	Defender"
"ID_225	De Roon	Atalanta	Midfielder"
"ID_226	Nsoki	Club Brugge	Defender"
"ID_227	Renan Lodi	AtlÃ©tico	Defender"
"ID_228	Davies	Bayern	Midfielder"
"ID_229	Maycon	Shakhtar Donetsk	Midfielder"
"ID_230	Carrasco	AtlÃ©tico	Forward"
"ID_231	Cuadrado	Juventus	Midfielder"
"ID_232	Felipe	AtlÃ©tico	Defender"
"ID_233	Witsel	Dortmund	Midfielder"
"ID_234	Neymar	Paris	Forward"
"ID_235	Bamba	LOSC	Forward"
"ID_236	Dumfries	Inter	Defender"
"ID_237	Goretzka	Bayern	Midfielder"
"ID_238	Zapata	Atalanta	Forward"
"ID_239	Coquelin	Villarreal	Midfielder"
"ID_240	Ocampos	Sevilla	Midfielder"
"ID_241	Lauper	Young Boys	Midfielder"
"ID_242	Grealish	Man. City	Midfielder"
"ID_243	Claudinho	Zenit	Midfielder"
"ID_244	OtÃ¡vio	Porto	Midfielder"
"ID_245	Feddal	Sporting CP	Defender"
"ID_246	Palomino	Atalanta	Defender"
"ID_247	T. HernÃ¡ndez	Milan	Defender"
"ID_248	Danilo	Juventus	Defender"
"ID_249	Mykolenko	Dynamo Kyiv	Defender"
"ID_250	Syrota	Dynamo Kyiv	Defender"
"ID_251	KoundÃ©	Sevilla	Defender"
"ID_252	SaviÄ‡	AtlÃ©tico	Defender"
"ID_253	Akanji	Dortmund	Defender"
"ID_254	L. Nielsen	MalmÃ¶	Defender"
"ID_255	Marlon	Shakhtar Donetsk	Defender"
"ID_256	Mbemba	Porto	Defender"
"ID_257	Casteels	Wolfsburg	Goalkeeper"
"ID_258	Ersin DestanoÄŸlu	BeÅŸiktaÅŸ	Goalkeeper"
"ID_259	Donnarumma	Paris	Goalkeeper"
"ID_260	GulÃ¡csi	Leipzig	Goalkeeper"
"ID_261	Bushchan	Dynamo Kyiv	Goalkeeper"
"ID_262	Athanasiadis	Sheriff	Goalkeeper"
"ID_263	Musiala	Bayern	Midfielder"
"ID_264	Brorsson	MalmÃ¶	Defender"
"ID_265	Ziyech	Chelsea	Midfielder"
"ID_266	Saelemaekers	Milan	Midfielder"
"ID_267	Douglas Santos	Zenit	Defender"
"ID_268	Chistiakov	Zenit	Defender"
"ID_269	Souza	BeÅŸiktaÅŸ	Midfielder"
"ID_270	Berget	MalmÃ¶	Midfielder"
"ID_271	OnguÃ©nÃ©	Salzburg	Defender"
"ID_272	Buyalskiy	Dynamo Kyiv	Midfielder"
"ID_273	Xeka	LOSC	Midfielder"
"ID_274	MÃ¦hle	Atalanta	Defender"
"ID_275	Garcia	Young Boys	Defender"
"ID_276	Malcom	Zenit	Forward"
"ID_277	Fred	Man. United	Midfielder"
"ID_278	AngeliÃ±o	Leipzig	Defender"
"ID_279	Pedraza	Villarreal	Midfielder"
"ID_280	Pino	Villarreal	Forward"
"ID_281	Verratti	Paris	Midfielder"
"ID_282	Guilavogui	Wolfsburg	Midfielder"
"ID_283	KantÃ©	Chelsea	Midfielder"
"ID_284	KovaÄiÄ‡	Chelsea	Midfielder"
"ID_285	LindelÃ¶f	Man. United	Defender"
"ID_286	Hermoso	AtlÃ©tico	Defender"
"ID_287	C. Martins Pereira	Young Boys	Midfielder"
"ID_288	Hakan Ã‡alhanoÄŸlu	Inter	Midfielder"
"ID_289	Wan-Bissaka	Man. United	Defender"
"ID_290	Tomori	Milan	Defender"
"ID_291	Botman	LOSC	Defender"
"ID_292	Rits	Club Brugge	Midfielder"
"ID_293	Baku	Wolfsburg	Midfielder"
"ID_294	AhmedhodÅ¾iÄ‡	MalmÃ¶	Defender"
"ID_295	AndrÃ© Silva	Leipzig	Forward"
"ID_296	Vidal	Inter	Midfielder"
"ID_297	Balanta	Club Brugge	Midfielder"
"ID_298	Renato Sanches	LOSC	Midfielder"
"ID_299	Zappacosta	Atalanta	Defender"
"ID_300	Laimer	Leipzig	Midfielder"
"ID_301	Kolovos	Sheriff	Midfielder"
"ID_302	Rosier	BeÅŸiktaÅŸ	Defender"
"ID_303	Correa	AtlÃ©tico	Forward"
"ID_304	Gueye	Paris	Midfielder"
"ID_305	McTominay	Man. United	Midfielder"
"ID_306	Gavi	Barcelona	Midfielder"
"ID_307	Weghorst	Wolfsburg	Forward"
"ID_308	Shaw	Man. United	Defender"
"ID_309	Brandt	Dortmund	Midfielder"
"ID_310	Sancho	Man. United	Midfielder"
"ID_311	PiquÃ©	Barcelona	Defender"
"ID_312	Malen	Dortmund	Forward"
"ID_313	Romagnoli	Milan	Defender"
"ID_314	Gnabry	Bayern	Forward"
"ID_315	Zaidu	Porto	Defender"
"ID_316	McKennie	Juventus	Midfielder"
"ID_317	Hefti	Young Boys	Defender"
"ID_318	Forsberg	Leipzig	Forward"
"ID_319	Batshuayi	BeÅŸiktaÅŸ	Forward"
"ID_320	Bentancur	Juventus	Midfielder"
"ID_321	Ricardo Esgaio	Sporting CP	Defender"
"ID_322	AcuÃ±a	Sevilla	Defender"
"ID_323	Lemar	AtlÃ©tico	Midfielder"
"ID_324	Bennacer	Milan	Midfielder"
"ID_325	De Pena	Dynamo Kyiv	Midfielder"
"ID_326	Jordi Alba	Barcelona	Defender"
"ID_327	TetÃª	Shakhtar Donetsk	Forward"
"ID_328	Demiral	Atalanta	Defender"
"ID_329	GonÃ§alo Ramos	Benfica	Forward"
"ID_330	LuÃ­s Neto	Sporting CP	Defender"
"ID_331	PuliÅ¡iÄ‡	Chelsea	Midfielder"
"ID_332	Ronald AraÃºjo	Barcelona	Defender"
"ID_333	KÄ™dziora	Dynamo Kyiv	Defender"
"ID_334	Danilo	Paris	Midfielder"
"ID_335	Roussillon	Wolfsburg	Defender"
"ID_336	TolÃ³i	Atalanta	Defender"
"ID_337	Matviyenko	Shakhtar Donetsk	Defender"
"ID_338	Kritsyuk	Zenit	Goalkeeper"
"ID_339	Loftus-Cheek	Chelsea	Forward"
"ID_340	Hummels	Dortmund	Defender"
"ID_341	CastaÃ±eda	Sheriff	Midfielder"
"ID_342	Klostermann	Leipzig	Defender"
"ID_343	BirmanÄeviÄ‡	MalmÃ¶	Midfielder"
"ID_344	Ismaily	Shakhtar Donetsk	Defender"
"ID_345	Larin	BeÅŸiktaÅŸ	Forward"
"ID_346	Varane	Man. United	Defender"
"ID_347	Jesus	Man. City	Forward"
"ID_348	Brahim DÃ­az	Milan	Midfielder"
"ID_349	JoÃ£o MÃ¡rio	Porto	Forward"
"ID_350	Fernando	Shakhtar Donetsk	Midfielder"
"ID_351	Pepe	Porto	Defender"
"ID_352	Fernandinho	Man. City	Midfielder"
"ID_353	Luis SuÃ¡rez	AtlÃ©tico	Forward"
"ID_354	Pogba	Man. United	Midfielder"
"ID_355	Camara	Young Boys	Defender"
"ID_356	Okafor	Salzburg	Midfielder"
"ID_357	Ghezzal	BeÅŸiktaÅŸ	Midfielder"
"ID_358	Lenglet	Barcelona	Defender"
"ID_359	Taarabt	Benfica	Midfielder"
"ID_360	Pedrinho	Shakhtar Donetsk	Midfielder"
"ID_361	Siebatcheu	Young Boys	Forward"
"ID_362	Vranckx	Wolfsburg	Midfielder"
"ID_363	Chiesa	Juventus	Forward"
"ID_364	Gvardiol	Leipzig	Defender"
"ID_365	Tonali	Milan	Midfielder"
"ID_366	JesÃºs Navas	Sevilla	Defender"
"ID_367	Sobol	Club Brugge	Defender"
"ID_368	Brooks	Wolfsburg	Defender"
"ID_369	Trigueros	Villarreal	Midfielder"
"ID_370	Pedro GonÃ§alves	Sporting CP	Midfielder"
"ID_371	Mbabu	Wolfsburg	Defender"
"ID_372	Solet	Salzburg	Defender"
"ID_373	Christiansen	MalmÃ¶	Midfielder"
"ID_374	JordÃ¡n	Sevilla	Midfielder"
"ID_375	Herrera	Paris	Midfielder"
"ID_376	Garmash	Dynamo Kyiv	Midfielder"
