id_player,serial,goals,right_foot,left_foot,headers,others,inside_area,outside_areas,penalties
ID_508,73,1,1,0,0,0,1,0,0
ID_572,73,1,1,0,0,0,1,0,0
ID_34,73,1,1,0,0,0,0,1,0
ID_36,73,1,1,0,0,0,0,1,0
ID_38,73,1,1,0,0,0,0,1,0
ID_131,73,1,1,0,0,0,0,1,0
ID_421,73,1,1,0,0,0,0,1,0
ID_561,73,1,1,0,0,0,0,1,0
ID_711,73,1,1,0,0,0,0,1,0
ID_199,73,1,0,1,0,0,1,0,1
ID_211,73,1,0,1,0,0,1,0,1
ID_357,73,1,0,1,0,0,1,0,1
ID_56,73,1,0,1,0,0,1,0,0
ID_265,73,1,0,1,0,0,1,0,0
ID_263,73,1,0,1,0,0,1,0,0
ID_477,73,1,0,1,0,0,1,0,0
ID_392,73,1,0,1,0,0,1,0,0
ID_296,73,1,0,1,0,0,1,0,0
ID_375,73,1,0,1,0,0,1,0,0
ID_492,73,1,0,1,0,0,1,0,0
ID_409,73,1,0,1,0,0,1,0,0
ID_246,73,1,0,1,0,0,1,0,0
ID_459,73,1,0,1,0,0,1,0,0
ID_348,73,1,0,1,0,0,1,0,0
ID_473,73,1,0,1,0,0,1,0,0
ID_494,73,1,0,1,0,0,1,0,0
ID_672,73,1,0,1,0,0,1,0,0
ID_483,73,1,0,1,0,0,1,0,0
ID_395,73,1,0,1,0,0,1,0,0
ID_454,73,1,0,1,0,0,1,0,0
ID_670,73,1,0,1,0,0,1,0,0
ID_586,73,1,0,1,0,0,1,0,0
ID_6,73,1,0,1,0,0,0,1,0
ID_16,73,1,0,1,0,0,0,1,0
ID_143,73,1,0,1,0,0,0,1,0
ID_142,73,1,0,1,0,0,0,1,0
ID_317,73,1,0,1,0,0,0,1,0
ID_397,73,1,0,1,0,0,0,1,0
ID_405,73,1,0,1,0,0,0,1,0
ID_406,73,1,0,1,0,0,0,1,0
ID_37,73,1,0,0,1,0,1,0,0
ID_227,73,1,0,0,1,0,1,0,0
ID_71,73,1,0,0,1,0,1,0,0
ID_141,73,1,0,0,1,0,1,0,0
ID_239,73,1,0,0,1,0,1,0,0
ID_280,73,1,0,0,1,0,1,0,0
ID_46,73,1,0,0,1,0,1,0,0
ID_149,73,1,0,0,1,0,1,0,0
ID_214,73,1,0,0,1,0,1,0,0
ID_525,73,1,0,0,1,0,1,0,0
ID_374,73,1,0,0,1,0,1,0,0
ID_328,73,1,0,0,1,0,1,0,0
ID_377,73,1,0,0,1,0,1,0,0
ID_630,73,1,0,0,1,0,1,0,0
ID_345,73,1,0,0,1,0,1,0,0
ID_448,73,1,0,0,1,0,1,0,0
ID_393,73,1,0,0,1,0,1,0,0
ID_665,73,1,0,0,1,0,1,0,0
ID_540,73,1,0,0,1,0,1,0,0
ID_488,73,1,0,0,1,0,1,0,0
ID_576,73,1,0,0,1,0,1,0,0
ID_509,73,1,0,0,1,0,1,0,0
ID_188,73,1,0,0,0,1,1,0,0
